penalty,loss,degree,tol,C,multi_class,fit_intercept,intercept_scaling,class_weight,random_state,verbose,max_iter,score,AOD,Training Size,Max Iteration,counter,execution time
l2,squared_hinge,True,0.0001,1.0,ovr,True,1.0,,2019,0,1000,0.8866985540103404,0.0017137226043369028,9042,10000,0,402
l2,hinge,True,0.09810049785877643,9.59800195245697,ovr,True,7.829042106684047,balanced,2019,0,955,0.4164063147999668,0.019639015628387435,9042,10000,1,382
l2,squared_hinge,False,0.021244410648970848,1.5438831706986003,ovr,False,3.98925650697501,balanced,2019,0,1011,0.7993862147142581,0.025075209328301526,9042,10000,2,22
l2,squared_hinge,True,0.07113817238622928,7.70840266802766,ovr,True,3.1546081356171918,balanced,2019,0,1044,0.8290801515109624,0.015269420203931267,9042,10000,3,416
l2,squared_hinge,True,0.049829483090579926,1.1217466008712746,ovr,True,2.6091585991227726,,2019,0,961,0.8927258149243827,0.017037129199086138,9042,10000,4,382
l1,squared_hinge,False,0.048953924343382485,0.7131689873463861,ovr,False,2.237073918143397,balanced,2019,0,978,0.8086482899720755,0.018208290654301032,9042,10000,5,15
l2,hinge,True,0.029420380035117932,6.344293701735688,ovr,True,7.104666489859564,balanced,2019,0,961,0.8365727556747491,0.03564185614589446,9042,10000,6,375
l2,squared_hinge,True,0.0064759740632094505,5.4889839165092535,ovr,True,7.369063496920271,,2019,0,1001,0.8809754209405845,0.014343004162861807,9042,10000,7,394
l2,squared_hinge,True,0.06425054053929506,8.926927286627455,ovr,True,1.630212213937403,balanced,2019,0,1023,0.8836572755674749,0.0018335373346599411,9042,10000,8,397
l2,hinge,True,0.03162204831194936,4.380001784992341,ovr,False,7.787885013538859,,2019,0,1048,0.8841825872985153,0.0026214916905242546,9042,10000,9,404
l2,hinge,True,0.07320943965278733,7.5225200182563805,ovr,True,9.92770340868963,,2019,0,1005,0.8831043158505902,0.0,9042,10000,10,397
l2,hinge,True,0.09923249573691378,7.789652778125467,ovr,False,8.839695999897994,,2019,0,1006,0.5890403384113467,0.03216598337698107,9042,10000,11,386
l2,hinge,True,0.07614091458571812,2.548833813708611,ovr,False,9.962462854318751,balanced,2019,0,1041,0.8372639553208548,0.05901278505029879,9042,10000,12,403
l1,squared_hinge,False,0.045192966651257625,1.280143936719714,ovr,True,1.3367463436795635,,2019,0,978,0.8978406923055655,0.025341115346162978,9042,10000,13,37
