penalty,loss,degree,tol,C,multi_class,fit_intercept,intercept_scaling,class_weight,random_state,verbose,max_iter,score,AOD,Training Size,Max Iteration,counter,execution time
l2,squared_hinge,True,0.0001,1.0,ovr,True,1.0,,2019,0,1000,0.7586630495981983,0.025231712755187236,13024,10000,0,522
l2,hinge,True,0.09237618979346315,3.974197795077115,ovr,True,6.1254635955941,,2019,0,985,0.7037928033986794,0.26707124322539166,13024,10000,1,503
l2,hinge,True,0.06454625553082952,0.5005537647213073,ovr,False,6.859600523170187,,2019,0,1045,0.7528791523775401,0.1571956275536084,13024,10000,2,522
l2,squared_hinge,True,0.024036777137540623,3.740137636206265,ovr,False,7.745977475440194,,2019,0,964,0.7660336796847008,0.014924123799874324,13024,10000,3,467
l1,squared_hinge,False,0.08908033078554742,6.9586300823983605,ovr,True,8.880764195870636,,2019,0,995,0.8081076930951527,0.030912244896741756,13024,10000,4,15
l1,squared_hinge,False,0.058138154075774696,6.068113234722211,ovr,False,0.9256714570696701,,2019,0,970,0.8062138506423708,0.06314650161417944,13024,10000,5,19
l2,squared_hinge,True,0.004210304625572735,1.3275100720345532,ovr,True,8.951544414168746,,2019,0,976,0.7895275630854276,0.022067587391622116,13024,10000,6,496
l1,squared_hinge,False,0.05410390771404543,0.8148896437166651,ovr,True,7.464702260312033,balanced,2019,0,993,0.7442288990121309,0.2754493951669489,13024,10000,7,18
l2,hinge,True,0.05042875672715487,2.650911584335862,ovr,False,7.662298354907715,balanced,2019,0,977,0.7744280083943287,0.003264920555792003,13024,10000,8,484
l2,squared_hinge,False,0.08056352451375122,5.705430046837982,ovr,True,3.1149742950687798,,2019,0,1015,0.8063674054358397,0.02659471153331412,13024,10000,9,13
l2,squared_hinge,False,0.09088239000844081,0.8275052154853687,ovr,True,8.587969726670488,,2019,0,971,0.810257460203716,0.027179388362442214,13024,10000,10,12
l1,squared_hinge,False,0.0810387863769994,5.7044005807645135,ovr,True,0.15908161318461855,balanced,2019,0,965,0.7417208373854737,0.27302160487419713,13024,10000,11,14
l2,hinge,True,0.09611973830544593,6.475548611171188,ovr,True,3.4817495895055233,balanced,2019,0,967,0.7964375287915237,0.09651482700144852,13024,10000,12,508
l1,squared_hinge,False,0.06117831655457959,4.0849175307183305,ovr,False,1.156055325976454,balanced,2019,0,980,0.7316885908788453,0.26510985421662747,13024,10000,13,16
l2,squared_hinge,False,0.06935093021799023,9.176329516072975,ovr,False,9.284797462958549,,2019,0,1047,0.8044735629830578,0.07554808651381217,13024,10000,14,13
l2,hinge,True,0.014849994884253787,9.30161207786551,ovr,False,5.669927438369278,balanced,2019,0,1039,0.7859958028356452,0.11520846937872287,13024,10000,15,500
l1,squared_hinge,False,0.07784788987522487,6.465972957728973,ovr,True,1.4489747282641132,,2019,0,1004,0.8081076930951527,0.030912244896741756,13024,10000,16,16
l2,hinge,True,0.056647097690107624,6.003107561329808,ovr,False,8.57954126187653,,2019,0,1020,0.43507191482827456,0.10375195119768649,13024,10000,17,495
l2,hinge,True,0.01902934633653191,9.224031234223064,ovr,False,5.668678262916185,balanced,2019,0,955,0.7759123713978605,0.0011918580443501206,13024,10000,18,464
l2,hinge,True,0.02178178249051929,1.063716053713155,ovr,False,8.757656202114042,,2019,0,976,0.7936735425090853,0.014729054668883856,13024,10000,19,475
l2,hinge,True,0.02723832970605905,1.748217178018079,ovr,False,6.227228212384281,,2019,0,991,0.47806725699953934,0.1208559780061898,13024,10000,20,484
l2,hinge,True,0.05454994277728985,5.889261747685592,ovr,False,2.0011798878656206,balanced,2019,0,974,0.8055484465373394,0.0208626939853542,13024,10000,21,471
l1,squared_hinge,False,0.0990830778955538,9.563700202227967,ovr,False,6.667340466723187,balanced,2019,0,1007,0.7291293443210319,0.2701587806419936,13024,10000,22,12
l2,hinge,True,0.010080418035368249,3.3336128639746407,ovr,True,5.912013769210021,,2019,0,1029,0.8064697752981522,0.019280428881421216,13024,10000,23,537
l2,hinge,True,0.022251540422092275,2.8216218718283184,ovr,False,0.4942027532294385,,2019,0,953,0.7914214055382095,0.04337114443793111,13024,10000,24,464
l2,squared_hinge,True,0.061578193174021134,2.547030257166946,ovr,True,8.06176585577311,,2019,0,1013,0.7921379945743973,0.12745538899598494,13024,10000,25,516
l2,hinge,True,0.00737705581010286,6.423492561597577,ovr,True,5.811406252594322,,2019,0,961,0.446639709269591,0.14020365996460843,13024,10000,26,488
l2,hinge,True,0.032789515721380696,2.664318827485949,ovr,True,7.603231994353898,,2019,0,968,0.7998669191789937,0.04429831585451141,13024,10000,27,495
l2,hinge,True,0.07586973942659356,1.006948753905613,ovr,True,5.087048620034507,balanced,2019,0,1050,0.7957721246864923,0.0012034178285425137,13024,10000,28,533
l1,squared_hinge,False,0.01571826324198844,9.836442175227257,ovr,False,6.442772181555994,balanced,2019,0,994,0.7363976045452219,0.2556856243290266,13024,10000,29,31
l2,hinge,True,0.002464018428214691,9.968465226870004,ovr,False,4.274027843639761,balanced,2019,0,971,0.7959768644111174,0.03442686357143618,13024,10000,30,473
l1,squared_hinge,False,0.019964102403227636,3.3014471720867533,ovr,True,1.1341351262751374,,2019,0,1003,0.8072887341966525,0.0481486098876697,13024,10000,31,43
l2,squared_hinge,False,0.04290797106607688,4.780746978437921,ovr,True,9.745108196176606,balanced,2019,0,994,0.7511900496493832,0.2525083886600111,13024,10000,32,15
l2,hinge,True,0.08031462998913598,1.917784996439976,ovr,True,5.462024794329773,balanced,2019,0,973,0.7884014945999898,0.09880333491431091,13024,10000,33,494
l2,squared_hinge,False,0.010777055501280226,1.128633171690811,ovr,False,5.62540242275801,,2019,0,987,0.8051389670880893,0.049276494275696484,13024,10000,34,17
l2,squared_hinge,False,0.05469726827104255,3.2276331786510375,ovr,True,6.263006067547189,,2019,0,976,0.8069304396785586,0.03789514968071235,13024,10000,35,14
l2,squared_hinge,True,0.03549846907878579,1.564646046256246,ovr,True,8.492607450336722,balanced,2019,0,975,0.8022726109433382,0.03393703203471264,13024,10000,36,504
l2,hinge,True,0.030640017960637936,1.9101869918783927,ovr,True,9.053634935179614,,2019,0,1017,0.8068792547474024,0.04079027577617572,13024,10000,37,518
l2,squared_hinge,True,0.03793630913901498,9.182384422196787,ovr,True,9.048102992409886,balanced,2019,0,952,0.7866612069406766,0.06205879306696828,13024,10000,38,483
l2,hinge,True,0.09600839004294741,8.598615784834497,ovr,True,8.128875868596154,,2019,0,1006,0.6084864615857092,0.2373360121873805,13024,10000,39,510
l2,hinge,True,0.03540357198304118,1.2857836980995168,ovr,True,1.0519634695384994,,2019,0,1000,0.7905000767773968,0.1440076085654032,13024,10000,40,509
l1,squared_hinge,False,0.09154844886274538,0.4023704297938562,ovr,True,1.3766535818886267,,2019,0,1012,0.8082100629574653,0.03080190615681016,13024,10000,41,16
l2,hinge,True,0.050019826996770184,9.403781697046373,ovr,False,0.5675800324852744,balanced,2019,0,959,0.7979730767262118,0.06660419929974751,13024,10000,42,486
l1,squared_hinge,False,0.001755244222773988,5.112710974588365,ovr,False,2.586342245130938,balanced,2019,0,962,0.7381890771356913,0.25229345715568796,13024,10000,43,58
l2,squared_hinge,True,0.013964107961901945,9.511691988125559,ovr,True,8.481294381366078,,2019,0,1000,0.747914214055382,0.05776617420584875,13024,10000,44,510
l2,squared_hinge,False,0.06361789768998138,1.5177322873187695,ovr,True,0.4989554081508403,,2019,0,1008,0.8044223780519015,0.07168839884472047,13024,10000,45,13
l2,squared_hinge,True,0.006111040378015892,4.919197331860237,ovr,False,2.3119109207039994,,2019,0,974,0.7971541178277115,0.006011059876962946,13024,10000,46,470
l1,squared_hinge,False,0.012536661068844032,0.5140291079330057,ovr,True,6.4116033999854904,,2019,0,1035,0.80718636433434,0.05299518740140563,13024,10000,47,51
l2,hinge,True,0.061126458357262416,1.9624033006111257,ovr,False,4.496041116006491,balanced,2019,0,1009,0.7427957209397553,0.03660936529782853,13024,10000,48,488
l2,hinge,True,0.008507118061358412,0.44012819063109343,ovr,False,0.3027105901524342,balanced,2019,0,976,0.7707938782822337,0.1578428810416073,13024,10000,49,473
l2,hinge,True,0.0948722503704746,6.031729329540547,ovr,True,4.729650572993826,,2019,0,1016,0.7982290013819932,0.055116771282033204,13024,10000,50,522
